EmployeeId,Gender,First Name,Last Name,Status,Vacancy Type,Rating,Workforce Planning A,Grade Key,Department Key,Division Key,ReasonForLeaving Key,FTE,Birth Date,Join Date,Leave Date
E-00075,Male,Hugo,Gibson,Permanent Role,Replacement,,Active,4,4,2,3,1.0,1979-09-03,2014-09-19,2016-05-08
E-00076,Male,James,Knight,Permanent Role,New,,Active,4,6,4,3,1.0,1967-03-15,2021-01-16,
E-00077,Female,Sara,Reed,Permanent Role,Replacement,,Active,4,4,5,3,1.0,1973-11-29,2004-11-27,
E-00078,Male,Lucas,Price,Growth Role,Replacement,High On Track,Active,2,6,5,5,1.0,1974-11-22,2001-06-15,2025-08-14
E-00079,Male,Aaron,Bennett,Growth Role,New,Under,Temporary,2,5,4,5,1.0,1986-07-08,2015-06-15,2021-09-04
E-00080,Male,Noah,Perry,Permanent Role,Replacement,High On Track,Active,3,3,4,3,1.0,1979-01-26,2006-07-23,2015-07-31
E-00081,Male,Dylan,King,Growth Role,Replacement,Under,Temporary,4,1,4,4,1.0,1980-03-19,2005-12-18,2010-09-19
E-00082,Female,Matilda,Nguyen,Permanent Role,New,,Inactive,6,4,1,3,1.0,2000-04-13,2024-03-31,
E-00083,Female,Chinara,Reynolds,Growth Role,Replacement,,Active,4,1,4,6,1.0,1978-11-19,1999-12-23,2011-11-08
E-00084,Female,Megan,Gibson,Permanent Role,Replacement,On Track,Temporary,5,5,4,4,1.0,1997-11-15,2023-12-29,
E-00085,Male,Connor,Graham,Permanent Role,New,High On Track,Active,6,5,3,3,1.0,1970-06-22,2008-04-01,
E-00086,Male,Smith,Howard,Permanent Role,New,,Temporary,6,4,3,7,1.0,1975-12-26,2019-07-03,
E-00087,Female,Imogen,Tanaka,Growth Role,Replacement,On Track,Temporary,2,5,5,7,1.0,1992-07-14,2016-05-25,2021-12-08
E-00088,Female,Abigail,Ford,Growth Role,Replacement,,Temporary,3,6,5,1,1.0,1988-05-10,2011-07-25,2023-02-20
E-00089,Female,Kinga,Zhang,Permanent Role,Replacement,,Temporary,6,5,5,3,0.5,1973-07-01,2013-08-30,2015-03-21
E-00090,Female,Lucy,Grant,Growth Role,Replacement,High On Track,Active,3,5,1,5,1.0,1990-02-22,2022-04-26,
E-00091,Male,Jamie,Spencer,Permanent Role,New,,Temporary,4,6,5,3,1.0,1993-12-08,2019-07-06,2019-12-31
E-00092,Male,Sebastian,Palmer,Permanent Role,Replacement,,Active,2,1,5,5,0.5,1971-12-11,2023-07-17,
E-00093,Male,Benjamin,Wood,Permanent Role,Replacement,Under,Active,6,4,5,3,0.5,1969-05-10,2002-10-14,2008-08-09
E-00094,Female,Noor,Spencer,Growth Role,Replacement,,Temporary,5,4,5,1,0.5,1999-04-22,2020-07-06,
E-00095,Male,Nathan,Harper,Permanent Role,Replacement,,Active,5,5,5,5,1.0,1978-05-28,2001-06-15,2009-12-07
E-00096,Male,Toby,Parker,Permanent Role,Replacement,Under,Inactive,4,5,4,5,1.0,1979-03-01,2001-06-30,2012-12-17
E-00097,Female,Viktoria,King,Permanent Role,Replacement,On Track,Active,4,5,3,3,1.0,1985-05-11,2006-10-03,
E-00098,Male,Joseph,Saunders,Growth Role,Replacement,,Active,4,2,4,4,1.0,2000-05-13,2021-09-10,
E-00099,Male,Marek,Morgan,Permanent Role,Replacement,,Active,3,1,5,7,0.5,1967-09-23,2018-05-15,
E-00100,Male,Aiden,Davies,Permanent Role,Replacement,,Active,4,2,5,6,1.0,1985-01-06,2021-03-22,
E-00101,Male,Martin,Cole,Permanent Role,Replacement,On Track,Active,3,5,4,2,1.0,1981-01-07,2016-01-31,
E-00102,Male,Connor,Kim,Permanent Role,Replacement,High On Track,Active,7,1,5,3,1.0,1976-01-09,2008-07-08,2024-10-05
E-00103,Female,Sana,Singh,Permanent Role,Replacement,On Track,Active,4,4,3,5,1.0,1989-09-11,2015-02-08,
E-00104,Male,George,Smith,Permanent Role,Replacement,,Active,5,6,3,5,0.5,1992-11-25,2025-05-03,
E-00105,Female,Clara,Young,Permanent Role,New,High On Track,Active,6,7,5,3,1.0,1988-01-14,2023-10-03,
E-00106,Female,Madison,Bailey,Growth Role,Replacement,On Track,Temporary,4,7,3,5,1.0,1983-11-11,2024-02-10,
E-00107,Male,Liam,Fisher,Permanent Role,Replacement,On Track,Active,5,5,5,5,1.0,2001-05-27,2023-04-11,2024-11-28
E-00108,Male,Simon,James,Growth Role,Replacement,,Active,6,3,5,3,1.0,1977-02-20,2002-11-28,
E-00109,Male,Lucas,Rose,Permanent Role,Replacement,,Temporary,3,3,5,2,0.5,1984-05-21,2016-10-17,2024-03-08
E-00110,Female,Anna,Higgins,Permanent Role,Replacement,On Track,Active,4,3,4,3,1.0,2003-08-18,2025-05-23,
E-00111,Male,Mason,Harper,Permanent Role,Replacement,,Inactive,5,5,1,6,1.0,1979-06-25,2006-06-09,
E-00112,Male,Leo,Newton,Permanent Role,Replacement,,Active,7,4,5,4,1.0,1978-08-28,2006-09-07,2019-09-19
E-00113,Male,Simon,James,Permanent Role,Replacement,Under,Active,2,3,3,3,1.0,1981-02-13,2022-02-26,
E-00114,Female,Phoebe,King,Permanent Role,Replacement,Under,Active,4,5,3,7,1.0,1998-11-08,2020-05-15,
E-00115,Male,Mohammed,Harvey,Permanent Role,Replacement,High On Track,Active,4,4,2,3,1.0,1979-07-07,2023-12-14,
E-00116,Female,Julia,Carter,Growth Role,Replacement,On Track,Active,3,5,5,4,1.0,1972-12-03,2003-05-09,2008-03-03
E-00117,Male,Anthony,Grant,Growth Role,Replacement,,Active,2,6,3,5,1.0,1973-04-02,1996-02-01,1996-04-29
E-00118,Male,Bartosz,West,Permanent Role,Replacement,,Active,1,5,5,3,1.0,1979-05-04,2014-06-21,2022-01-08
E-00119,Female,Natalia,Harper,Growth Role,New,,Active,4,5,4,5,1.0,1967-08-16,1991-03-19,2015-01-15
E-00120,Male,Jan,Edwards,Permanent Role,New,,Temporary,5,1,2,1,1.0,1973-07-26,2009-03-17,
E-00121,Male,Bartosz,Walsh,Permanent Role,New,Under,Active,3,8,4,1,1.0,1990-08-10,2016-01-05,
E-00122,Male,Marek,Adebayo,Permanent Role,Replacement,,Active,3,6,3,6,1.0,1995-09-19,2022-08-26,
E-00123,Female,Farah,Fletcher,Growth Role,Replacement,,Active,4,2,3,4,1.0,1976-06-06,2008-05-31,2008-12-30
E-00124,Male,Mohammed,Butler,Permanent Role,New,On Track,Active,3,7,4,5,1.0,1977-07-12,2006-03-18,2008-01-31
E-00125,Female,Sade,Cook,Permanent Role,Replacement,On Track,Temporary,4,7,3,5,1.0,1977-09-23,2007-03-18,2018-02-06
E-00126,Male,Edward,Stephens,Permanent Role,New,High On Track,Active,6,6,4,5,1.0,1968-05-16,2006-08-19,2012-03-24
E-00127,Female,Nina,Barnett,Permanent Role,Replacement,,Temporary,2,6,5,3,1.0,1981-02-24,2012-07-01,
E-00128,Male,Taylor,Miller,Permanent Role,New,Under,Active,1,5,5,5,1.0,1998-11-01,2019-12-04,
E-00129,Male,Ryan,Pearson,Permanent Role,Replacement,On Track,Temporary,4,4,3,7,1.0,1987-08-21,2022-03-20,
E-00130,Female,Harriet,Dean,Permanent Role,Replacement,High On Track,Temporary,4,5,4,6,1.0,1962-09-09,1990-02-24,1994-05-02
E-00131,Female,Molly,Rowe,Growth Role,Replacement,,Active,4,1,4,3,1.0,1998-04-01,2024-04-15,
E-00132,Male,Andrew,Young,Permanent Role,Replacement,,Temporary,5,5,5,5,1.0,1998-01-11,2025-04-07,
E-00133,Male,Felix,Stevens,Growth Role,Replacement,High On Track,Active,5,5,5,4,1.0,1962-09-09,2020-02-13,
E-00134,Female,Katie,Young,Permanent Role,Replacement,,Temporary,5,4,5,3,1.0,1979-01-19,2003-11-10,2006-08-09
E-00135,Male,Emil,Mwangi,Permanent Role,Replacement,On Track,Temporary,3,6,5,1,0.5,1960-09-03,1991-10-07,1993-03-30
E-00136,Male,Marek,Stephens,Growth Role,Replacement,High On Track,Temporary,6,3,4,5,1.0,1984-09-29,2014-06-26,2025-07-01
E-00137,Female,Georgia,Roberts,Growth Role,New,On Track,Temporary,3,4,5,3,1.0,1982-02-24,2010-10-07,2022-04-29
E-00138,Male,Kyle,Sanders,Permanent Role,Replacement,,Active,3,2,5,3,0.5,1985-12-27,2025-03-27,
E-00139,Male,Milo,Warren,Permanent Role,Replacement,,Active,4,5,3,2,1.0,1977-11-16,2016-11-07,
E-00140,Male,John,Carter,Permanent Role,Replacement,,Temporary,4,2,5,5,1.0,1971-02-12,2016-02-12,2018-09-28
E-00141,Male,Jasper,Gibson,Permanent Role,Replacement,On Track,Temporary,3,6,3,5,1.0,1988-01-07,2022-09-02,
E-00142,Male,Alfie,Stone,Growth Role,Replacement,,Active,6,2,4,4,1.0,1987-01-29,2012-01-02,2014-09-07
E-00143,Male,Liam,Bailey,Growth Role,Replacement,,Active,5,6,2,3,1.0,1996-10-11,2024-12-22,
E-00144,Female,Lucy,Clark,Growth Role,New,,Active,5,4,3,3,0.5,2003-08-26,2025-05-19,
E-00145,Female,Imogen,Bradley,Permanent Role,New,,Active,4,3,4,3,1.0,1985-10-13,2016-06-02,
E-00146,Female,Evie,Miller,Growth Role,Replacement,On Track,Temporary,3,4,4,3,1.0,1970-04-11,2013-11-20,
E-00147,Male,Liam,Reynolds,Growth Role,Replacement,,Active,2,2,4,3,1.0,1969-08-06,2021-09-28,
E-00148,Male,Simon,Perry,Permanent Role,Replacement,On Track,Temporary,1,5,3,3,1.0,1971-09-19,2010-01-26,
E-00149,Male,Gabriel,Payne,Growth Role,Replacement,,Active,4,7,5,5,1.0,1977-05-09,2018-01-06,
E-00150,Male,Kyle,Mensah,Permanent Role,Replacement,,Temporary,7,4,4,5,1.0,1984-03-23,2008-02-23,2012-11-13
E-00151,Male,Jakub,Wells,Permanent Role,Replacement,,Active,4,5,5,5,1.0,1978-08-25,2007-10-02,2014-11-17
E-00152,Male,Benjamin,Allen,Growth Role,Replacement,On Track,Active,5,5,5,3,1.0,1997-04-30,2020-01-31,
E-00153,Female,Veronika,Wallace,Permanent Role,New,Under,Temporary,7,3,5,3,1.0,1993-11-05,2022-10-30,
E-00154,Male,Stephen,Stone,Permanent Role,Replacement,,Active,5,4,2,3,1.0,1980-07-10,2018-04-30,
E-00155,Male,Lewis,Kim,Permanent Role,New,On Track,Active,6,5,5,5,1.0,1981-01-25,2009-11-27,2024-09-20
E-00156,Male,Oscar,Mills,Growth Role,Replacement,,Active,7,4,5,6,1.0,2001-07-31,2022-11-22,
E-00157,Male,Brandon,Jordan,Permanent Role,New,On Track,Active,3,5,3,3,1.0,1983-03-15,2006-06-21,
E-00158,Male,Daniel,Watson,Growth Role,New,,Active,7,8,4,3,1.0,1983-12-21,2022-04-28,
E-00159,Male,Julian,Holmes,Permanent Role,Replacement,High On Track,Temporary,3,1,4,3,1.0,1994-04-03,2018-01-09,
E-00160,Male,Thompson,Hunt,Permanent Role,Replacement,,Active,2,4,3,3,1.0,1992-07-15,2025-03-31,
E-00161,Male,Arthur,Walters,Growth Role,New,On Track,Active,5,4,5,1,1.0,1971-08-29,2023-01-20,
E-00162,Male,Kacper,James,Growth Role,Replacement,Under,Active,4,6,4,3,1.0,1976-07-26,2021-12-31,2022-07-25
E-00163,Male,Joseph,Hill,Permanent Role,New,On Track,Active,5,7,5,1,1.0,1977-08-24,2019-07-25,
E-00164,Male,Matteo,Hunter,Growth Role,Replacement,,Active,4,4,4,1,1.0,1996-02-19,2024-10-06,
E-00165,Male,Ethan,Bradley,Growth Role,Replacement,,Active,5,1,2,3,1.0,1970-08-08,2007-09-24,2023-01-22
E-00166,Male,Louis,Lawrence,Permanent Role,Replacement,Under,Temporary,3,5,5,3,1.0,1979-09-04,2022-12-22,
E-00167,Female,Mia,Simpson,Permanent Role,Replacement,,Active,1,1,5,3,1.0,1969-06-21,1990-11-02,2013-04-24
E-00168,Male,Marek,Diallo,Permanent Role,Replacement,,Temporary,4,1,5,2,0.5,1966-05-11,2011-08-21,2022-04-04
E-00169,Male,Callum,Curtis,Permanent Role,Replacement,On Track,Temporary,4,7,5,6,1.0,1987-05-12,2011-05-14,2021-05-25
E-00170,Male,Thompson,Richardson,Growth Role,Replacement,Under,Temporary,4,2,4,4,1.0,1994-03-17,2016-12-27,
E-00171,Male,Elliot,Bradley,Permanent Role,New,,Active,4,8,2,7,1.0,1970-05-05,2005-11-22,2011-06-04
E-00172,Male,Jakub,Hill,Permanent Role,Replacement,,Temporary,6,1,2,3,0.5,1971-09-24,2006-10-08,2009-01-23
E-00173,Female,Hannah,Morrison,Permanent Role,Replacement,,Active,5,1,3,3,1.0,1998-08-02,2025-05-11,
E-00174,Male,Edward,Benson,Permanent Role,Replacement,Under,Inactive,2,4,2,7,1.0,1976-08-16,2003-01-18,2020-03-25
E-00175,Female,Adanna,Parker,Growth Role,Replacement,Under,Active,4,6,5,4,1.0,1971-06-08,2003-08-09,2012-11-01
E-00176,Female,Madison,Clark,Permanent Role,Replacement,On Track,Temporary,4,3,5,1,1.0,1994-03-16,2024-12-27,
E-00177,Female,Sade,Gibbs,Permanent Role,Replacement,On Track,Active,5,4,5,5,1.0,1972-04-18,2013-01-09,2021-02-16
E-00178,Male,Gabriel,Kelly,Growth Role,Replacement,Under,Active,5,5,5,1,1.0,1976-06-27,2019-07-21,
E-00179,Female,Huda,Nguyen,Permanent Role,Replacement,On Track,Active,3,5,5,3,1.0,1966-07-18,1995-09-20,2011-01-19
E-00180,Male,Alfie,Smith,Permanent Role,Replacement,,Temporary,4,4,5,3,1.0,1974-11-08,2007-05-28,
E-00181,Male,Hassan,Palmer,Permanent Role,Replacement,,Active,5,4,3,3,1.0,1982-11-09,2015-06-06,
E-00182,Female,Aleksandra,Bishop,Growth Role,New,Under,Active,5,7,5,2,1.0,1984-02-23,2015-10-16,
E-00183,Female,Kwamboka,Evans,Permanent Role,Replacement,High On Track,Active,2,4,1,3,1.0,1989-08-09,2025-03-26,
E-00184,Female,Yetunde,Baldwin,Permanent Role,Replacement,,Temporary,4,8,5,5,1.0,1989-02-11,2017-02-02,
E-00185,Female,Samantha,Reed,Growth Role,Replacement,,Active,4,3,4,3,1.0,1987-04-08,2014-09-26,
E-00186,Male,Aiden,Atkinson,Permanent Role,Replacement,On Track,Active,5,5,5,5,1.0,1992-06-09,2019-11-09,
E-00187,Male,Sebastian,Grant,Permanent Role,New,High On Track,Active,3,4,5,3,1.0,1984-11-28,2016-04-12,2025-02-23
E-00188,Male,Samuel,Green,Permanent Role,Replacement,High On Track,Inactive,3,3,5,7,1.0,1975-04-30,2001-05-10,2018-08-15
E-00189,Female,Sumaya,Murray,Growth Role,Replacement,,Temporary,6,5,5,6,1.0,1977-04-01,2024-01-23,
E-00190,Female,Simona,Pearce,Permanent Role,Replacement,On Track,Active,4,2,2,5,1.0,1975-06-01,2024-04-24,
E-00191,Female,Huda,Abebe,Growth Role,Replacement,On Track,Active,3,2,4,7,1.0,1981-05-22,2002-07-31,2004-02-02
E-00192,Male,Milo,Adams,Growth Role,New,On Track,Temporary,5,4,4,7,1.0,1992-11-13,2016-01-20,2023-08-03
E-00193,Male,Hassan,Holmes,Permanent Role,Replacement,On Track,Temporary,5,5,4,3,1.0,1984-05-15,2011-02-28,
E-00194,Female,Amina,Jones,Growth Role,Replacement,Under,Active,4,6,4,3,1.0,1993-02-08,2018-09-04,2020-08-24
E-00195,Male,Filip,Johnson,Growth Role,Replacement,,Active,5,7,1,5,1.0,1983-10-07,2008-02-28,
E-00196,Male,Pavel,Nelson,Permanent Role,Replacement,Under,Temporary,5,4,5,6,1.0,1975-07-28,2015-09-23,
E-00197,Female,Jessica,Kamau,Growth Role,Replacement,,Inactive,3,4,4,5,1.0,1986-04-29,2019-05-08,2023-04-17
E-00198,Male,Philip,Davies,Growth Role,New,On Track,Inactive,4,6,5,3,1.0,1980-10-12,2012-01-31,
E-00199,Male,Sven,Simpson,Permanent Role,Replacement,High On Track,Temporary,4,4,3,3,1.0,1993-07-02,2021-06-16,
E-00200,Female,Charlotte,Yamamoto,Permanent Role,Replacement,On Track,Active,4,5,5,4,1.0,1979-12-09,2006-01-25,2020-08-31
E-00201,Female,Harriet,Okafor,Permanent Role,Replacement,,Active,2,4,3,3,1.0,1985-04-02,2024-01-02,
E-00202,Male,Stephen,Dixon,Growth Role,Replacement,High On Track,Temporary,4,6,4,5,1.0,1997-09-11,2018-10-03,
E-00203,Male,Edward,Dixon,Permanent Role,Replacement,On Track,Active,3,6,4,4,1.0,1973-04-08,2012-02-26,2015-12-31
E-00204,Female,Noor,Fisher,Permanent Role,New,Under,Active,7,4,5,5,1.0,1979-04-28,2001-11-11,2022-09-11
E-00205,Male,John,Burns,Growth Role,Replacement,Under,Inactive,5,5,5,1,1.0,1994-02-28,2024-03-19,
E-00206,Female,Simona,Lane,Permanent Role,Replacement,,Active,4,5,5,7,1.0,2003-01-08,2024-12-05,
E-00207,Female,Elena,Singh,Permanent Role,Replacement,,Active,7,3,4,4,1.0,1982-10-25,2021-11-26,
E-00208,Female,Tereza,Barker,Growth Role,Replacement,On Track,Temporary,4,7,1,5,1.0,1967-07-30,1988-12-18,1997-08-01
E-00209,Female,Kinga,Henderson,Permanent Role,Replacement,Under,Inactive,3,6,4,1,1.0,1977-02-07,2004-06-08,2024-11-19
E-00210,Male,Lucas,Cook,Permanent Role,Replacement,,Active,7,7,2,3,1.0,1987-07-29,2014-10-06,
E-00211,Male,Brandon,Cross,Growth Role,Replacement,,Active,5,4,2,4,1.0,1994-09-29,2017-04-30,
E-00212,Female,Jessica,Lane,Permanent Role,Replacement,,Temporary,5,2,5,7,1.0,1973-01-13,1998-12-26,2014-04-27
E-00213,Male,Aaron,Spencer,Permanent Role,Replacement,,Temporary,6,6,5,3,1.0,1983-05-06,2020-04-20,
E-00214,Male,Samuel,Baxter,Permanent Role,Replacement,On Track,Active,6,5,5,5,1.0,1987-09-28,2011-03-16,2019-10-18
